 ASCII dec oct hex
     !  33  41  21
     "  34  42  22
     #  35  43  23
     $  36  44  24
     %  37  45  25
     &  38  46  26
     '  39  47  27
     (  40  50  28
     )  41  51  29
     *  42  52  2a
     +  43  53  2b
     ,  44  54  2c
     -  45  55  2d
     .  46  56  2e
     /  47  57  2f
     0  48  60  30
     1  49  61  31
     2  50  62  32
     3  51  63  33
     4  52  64  34
     5  53  65  35
     6  54  66  36
     7  55  67  37
     8  56  70  38
     9  57  71  39
     :  58  72  3a
     ;  59  73  3b
     <  60  74  3c
     =  61  75  3d
     >  62  76  3e
     ?  63  77  3f
     @  64 100  40
     A  65 101  41
     B  66 102  42
     C  67 103  43
     D  68 104  44
     E  69 105  45
     F  70 106  46
     G  71 107  47
     H  72 110  48
     I  73 111  49
     J  74 112  4a
     K  75 113  4b
     L  76 114  4c
     M  77 115  4d
     N  78 116  4e
     O  79 117  4f
     P  80 120  50
     Q  81 121  51
     R  82 122  52
     S  83 123  53
     T  84 124  54
     U  85 125  55
     V  86 126  56
     W  87 127  57
     X  88 130  58
     Y  89 131  59
     Z  90 132  5a
     [  91 133  5b
     \  92 134  5c
     ]  93 135  5d
     ^  94 136  5e
     _  95 137  5f
     `  96 140  60
     a  97 141  61
     b  98 142  62
     c  99 143  63
     d 100 144  64
     e 101 145  65
     f 102 146  66
     g 103 147  67
     h 104 150  68
     i 105 151  69
     j 106 152  6a
     k 107 153  6b
     l 108 154  6c
     m 109 155  6d
     n 110 156  6e
     o 111 157  6f
     p 112 160  70
     q 113 161  71
     r 114 162  72
     s 115 163  73
     t 116 164  74
     u 117 165  75
     v 118 166  76
     w 119 167  77
     x 120 170  78
     y 121 171  79
     z 122 172  7a
     { 123 173  7b
     | 124 174  7c
     } 125 175  7d
     ~ 126 176  7e
